question,dense_top1,dense_topk_doc_names,sparse_top1,sparse_topk_doc_names
What is the primary goal of glaucoma treatment?,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf|page=24|and benefits of treatment • that glaucoma can run in families and that family members may wish to be tested for the condition • the importance of thei,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || cdc_131539_DS1.pdf || cdc_131539_DS1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || cdc_131539_DS1.pdf,EGS_Guidelines_5_English-1.pdf|page=23|. Level of evidence : High for IOP reduction but very low for other outcomes. Strength of recommendation : strong Q11. What interventions can improve ,EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || EGS_Guidelines_5_English-1.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf
How is intraocular pressure managed in glaucoma?,"1.Primary Open-Angle Glaucoma PPP.pdf|page=63|. Invest Ophthalmol Vis Sci. 2005;46:1269-1274. 267. Stewart WC, Day DG, Jenkins JN, et al. Mean intraocular pressure and progression based on corneal",1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf|page=28|trabeculoplasty as a first-line treatment compared with intraocular pressure-lowering eye drops in ocular hypertension or COAG in adults? 3 An instrum,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || EGS_Guidelines_5_English-1.pdf || glaucoma_diagosis.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf
What tests are used to monitor glaucoma progression over time?,"EGS_Guidelines_5_English-1.pdf|page=83|. II.1.4.2.7 Number and frequency of tests Determining the rate of progression of an individual eye requires a significant time span, typically at lea",EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || glaucoma_diagosis.pdf || EGS_Guidelines_5_English-1.pdf,EGS_Guidelines_5_English-1.pdf|page=22|23 Part I Q7. What are the recommended tests for monitoring? Visual acuity ( strength of recommendation : strong) VF testing ( strength of recommendat,EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 3.ICOGlaucomaGuidelines.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf
When would visual field testing be recommended?,1.Primary Open-Angle Glaucoma PPP.pdf|page=24|. Testing with a 10-2 program may also be useful to detect early visual field damage in the central 10 degrees before such abnormalities are obvious i,1.Primary Open-Angle Glaucoma PPP.pdf || 3.ICOGlaucomaGuidelines.pdf || glaucoma_diagosis.pdf || EGS_Guidelines_5_English-1.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,"2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf|page=16|. [2017] 1.5.3 When clinically indicated, repeat visual field testing using standard automated perimetry (central thresholding test) for people with C",2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || EGS_Guidelines_5_English-1.pdf
What is the role of optic nerve evaluation in glaucoma care?,CPG.VP.30-Glaucoma.pdf|page=1|. This policy describes the clinical practice guidelines for the management of glaucoma. I. Comprehensive eye evaluations are recommended for those wi,CPG.VP.30-Glaucoma.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,EGS_Guidelines_5_English-1.pdf|page=22|. 23 Comment : Models of care with virtual clinics / asynchronous decision making are potentially valuable when improvements in access to care is need,EGS_Guidelines_5_English-1.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || EGS_Guidelines_5_English-1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf
How often should patients be followed up after starting glaucoma therapy?,"cdc_131539_DS1.pdf|page=7|. Additionally, as these procedures remain relatively new, the long-term efficacy over the course of a lifetime is yet to be determined and larger, lo",cdc_131539_DS1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || cdc_131539_DS1.pdf || 3.ICOGlaucomaGuidelines.pdf,"3.ICOGlaucomaGuidelines.pdf|page=7|. More often the disease is chronic, progressive, and without symptoms. Risk factors for the disease include racial background, increasing age, female",3.ICOGlaucomaGuidelines.pdf || 3.ICOGlaucomaGuidelines.pdf || EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf
What are common risk factors for glaucoma progression?,"3.ICOGlaucomaGuidelines.pdf|page=7|. More often the disease is chronic, progressive, and without symptoms. Risk factors for the disease include racial background, increasing age, female",3.ICOGlaucomaGuidelines.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf || EGS_Guidelines_5_English-1.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf|page=28|. Key recommendations for research 1 Risk tools to identify risk of developing chronic open angle glaucoma and risk of sight loss What is the predicti,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 3.ICOGlaucomaGuidelines.pdf || CPG.VP.30-Glaucoma.pdf || EGS_Guidelines_5_English-1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf
What is ocular hypertension and how does it relate to glaucoma risk?,"1.Primary Open-Angle Glaucoma PPP.pdf|page=62|. Trans Am Ophthalmol Soc. 1995;93:337-347; discussion 347-351. 240. Quigley HA, Enger C, Katz J, et al. Risk factors for the development of glaucomat",1.Primary Open-Angle Glaucoma PPP.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf|page=28|trabeculoplasty as a first-line treatment compared with intraocular pressure-lowering eye drops in ocular hypertension or COAG in adults? 3 An instrum,2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf
When is laser treatment considered in glaucoma management?,1.Primary Open-Angle Glaucoma PPP.pdf|page=26|. Laser or incisional surgery may also be indicated to manage glaucoma. Visual field loss in glaucoma is associated with a decrease in quality of life,1.Primary Open-Angle Glaucoma PPP.pdf || EGS_Guidelines_5_English-1.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || cdc_131539_DS1.pdf || 1.Primary Open-Angle Glaucoma PPP.pdf,"EGS_Guidelines_5_English-1.pdf|page=126|. When treatment options are discussed with a patient, general health status and personal preferences must be considered and respected. It is also imp",EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || EGS_Guidelines_5_English-1.pdf || 3.ICOGlaucomaGuidelines.pdf
How is angle-closure glaucoma managed differently from open-angle glaucoma?,"RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf|page=6|. Speciﬁc Difﬁculties: Angle-closure • Although fewer persons are affected globally compared with the open-angle glaucomas, those with angle-closure s",RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf || EHCO-Glaucoma-Guidelines.27Feb2013.Final_.pdf || 3.ICOGlaucomaGuidelines.pdf || 3.ICOGlaucomaGuidelines.pdf || EHCO-Glaucoma-Guidelines.27Feb2013.Final_.pdf,"RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf|page=6|. Speciﬁc Difﬁculties: Angle-closure • Although fewer persons are affected globally compared with the open-angle glaucomas, those with angle-closure s",RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf || 2.glaucoma-diagnosis-and-management-pdf-1837689655237.pdf || glaucoma_diagosis.pdf || RANZCO-Clinical-Practice-Guidelines-for-the-Collaborative-Care-of-glaucoma-patients_2.pdf || EGS_Guidelines_5_English-1.pdf
